FID IID PC1 PC2
ID705 ID705 -0.023966 0.0224235
ID706 ID706 0.0145496 -0.0316962
ID707 ID707 -0.0258721 0.0227679
ID708 ID708 0.00699319 -0.0200598
ID709 ID709 -0.025139 0.024302
ID71 ID71 0.162677 0.113784
ID710 ID710 0.0141454 -0.0320985
ID711 ID711 0.0159833 -0.0345054
ID712 ID712 -0.024529 0.0205103
ID713 ID713 0.0125255 -0.0312079
ID714 ID714 0.0152417 -0.0325457
ID715 ID715 0.0142872 -0.0326633
ID716 ID716 0.0149414 -0.0342245
ID717 ID717 -0.0245562 0.0229997
ID718 ID718 -0.0250609 0.0217814
ID719 ID719 -0.0206211 0.0234341
ID72 ID72 0.0136045 -0.03035
ID720 ID720 0.0129504 -0.0315248
ID721 ID721 0.0145216 -0.0309892
ID722 ID722 0.0151294 -0.0326062
ID723 ID723 0.0157314 -0.0321575
ID724 ID724 0.0150888 -0.0321081
ID725 ID725 -0.0249807 0.0229165
ID726 ID726 -0.0248038 0.0224094
ID727 ID727 -0.0244132 0.0222042
ID728 ID728 -0.0254727 0.0223248
ID729 ID729 -0.0248676 0.0227432
ID73 ID73 -0.0241595 0.0198086
ID730 ID730 0.0143198 -0.0301671
ID731 ID731 -0.0236917 0.0217416
ID732 ID732 0.0140961 -0.0318569
ID733 ID733 0.0135844 -0.0341429
ID734 ID734 0.018884 -0.0359472
ID735 ID735 0.0112935 -0.0285372
ID736 ID736 -0.0242957 0.0222345
ID737 ID737 -0.0249073 0.0217214
ID738 ID738 0.0188346 -0.0339889
ID739 ID739 0.00504434 -0.0188775
ID74 ID74 -0.0258624 0.0216942
ID740 ID740 -0.0246388 0.0207585
ID741 ID741 -0.025316 0.0233897
ID742 ID742 0.0140166 -0.0339986
ID743 ID743 0.0282634 -0.0424248
ID744 ID744 -0.024243 0.0221302
ID745 ID745 -0.0239067 0.0225745
ID746 ID746 -0.0256303 0.0220678
ID747 ID747 0.00927343 -0.0196079
ID748 ID748 -0.0239032 0.0222467
ID749 ID749 -0.0246956 0.020982
ID75 ID75 0.0139089 -0.0298598
ID750 ID750 0.0278952 -0.0413716
ID751 ID751 -0.0245196 0.0208732
ID752 ID752 -0.00540852 -0.00431183
ID753 ID753 0.0169809 0.0403234
ID754 ID754 -0.0244813 0.022278
ID755 ID755 0.0147547 -0.02894
ID756 ID756 0.0125721 -0.0315671
ID757 ID757 0.0111007 -0.0307517
ID758 ID758 -0.0250034 0.021995
ID759 ID759 -0.0249256 0.0208645
ID76 ID76 0.141294 0.102067
ID760 ID760 -0.00871324 0.00480071
ID761 ID761 0.00717202 -0.0189528
ID762 ID762 -0.0247848 0.022415
ID763 ID763 -0.0239636 0.0215496
ID764 ID764 -0.0239021 0.0227924
ID765 ID765 -0.0242209 0.0228721
ID766 ID766 0.0138651 -0.0332939
ID767 ID767 -0.0253101 0.0213556
ID768 ID768 0.00482111 0.0375994
ID769 ID769 -0.024718 0.0218256
ID77 ID77 -0.00237827 -0.00622355
ID770 ID770 0.0300668 -0.0408191
ID771 ID771 -0.0219348 0.0224708
ID772 ID772 0.0289031 -0.0434069
ID773 ID773 -0.0199866 0.0184469
ID774 ID774 -0.0254428 0.021092
ID775 ID775 -0.023718 0.0205897
ID776 ID776 0.0122841 -0.0312897
ID777 ID777 -0.0238883 0.0213297
ID778 ID778 -0.0229708 0.0199695
ID779 ID779 -0.024309 0.0217646
ID78 ID78 -0.0248574 0.0216275
ID780 ID780 0.0135682 -0.0312716
ID781 ID781 0.0147331 -0.031731
ID782 ID782 0.0072627 -0.0249811
ID783 ID783 0.0148131 -0.0330962
ID784 ID784 0.0142248 -0.0309543
ID785 ID785 -0.0176548 0.016163
ID786 ID786 -0.0152764 0.011598
ID787 ID787 0.00635614 -0.0224786
ID788 ID788 -0.0247779 0.0211898
ID789 ID789 -0.0242291 0.0197261
ID79 ID79 -0.0243234 0.0200319
ID790 ID790 0.0135512 -0.032989
ID791 ID791 -0.0241152 0.0212373
ID792 ID792 0.0161667 -0.0347902
ID793 ID793 -0.0248362 0.0231635
ID794 ID794 0.0133924 -0.0304574
ID795 ID795 -0.0205591 0.0146574
ID796 ID796 0.0143125 -0.0305906
ID797 ID797 -0.0251901 0.0231174
ID798 ID798 -0.0050854 -0.00561238
ID799 ID799 -0.0249397 0.0207124
ID8 ID8 0.0129625 -0.0321101
ID80 ID80 -0.00928638 0.00575664
ID800 ID800 0.0176274 -0.0313054
ID801 ID801 -0.0241824 0.0199526
ID802 ID802 0.0115229 -0.0322315
ID803 ID803 0.00615311 -0.0200527
ID804 ID804 0.0137073 -0.030909
ID805 ID805 0.0112253 -0.0296791
ID806 ID806 -0.0244566 0.0211464
ID807 ID807 -0.0222658 0.0208828
ID808 ID808 -0.0239462 0.0216539
ID809 ID809 -0.0234326 0.021974
ID81 ID81 0.0159708 -0.0329796
ID810 ID810 0.0161007 -0.0321882
ID811 ID811 -0.0264026 0.0246226
ID812 ID812 -0.0234079 0.0211093
ID813 ID813 0.0153227 -0.0320155
ID814 ID814 0.00829243 -0.0225337
ID815 ID815 -0.00769473 0.0291409
ID816 ID816 0.021863 -0.038507
ID817 ID817 0.0197502 -0.0376309
ID818 ID818 0.0151316 -0.0340739
ID819 ID819 -0.0262748 0.0221972
ID82 ID82 -0.0238051 0.0207518
ID820 ID820 -0.0241031 0.0200702
ID821 ID821 -0.0243082 0.0224464
ID822 ID822 0.0167971 -0.0326129
ID823 ID823 0.0141502 -0.0318015
ID824 ID824 -0.0248521 0.0215754
ID825 ID825 0.0131629 -0.0312401
ID826 ID826 0.163706 0.112446
ID827 ID827 -0.0233401 0.0213087
ID828 ID828 0.0149449 -0.0299718
ID829 ID829 -0.0232364 0.0224455
ID83 ID83 -0.0255892 0.0239372
ID830 ID830 -0.024223 0.0219771
ID831 ID831 0.0144351 -0.0323676
ID832 ID832 0.012394 -0.0286741
ID833 ID833 -0.0238115 0.0207718
ID834 ID834 0.00910799 -0.0254066
ID835 ID835 0.0186472 -0.0341995
ID836 ID836 0.0146125 -0.0295412
ID837 ID837 -0.0245452 0.0221326
ID838 ID838 0.0134362 -0.0295775
ID839 ID839 0.0140777 -0.0329211
ID84 ID84 -0.0245949 0.0196621
ID840 ID840 0.0152553 -0.0311143
ID841 ID841 -0.024816 0.0223526
ID842 ID842 -0.0241546 0.0217005
ID843 ID843 0.0151711 -0.0324845
ID844 ID844 0.0129602 -0.0301479
ID845 ID845 -0.00604727 -0.00381666
ID846 ID846 0.0321093 0.0408127
ID847 ID847 0.028002 -0.0410926
ID848 ID848 0.0146162 -0.0320211
ID849 ID849 0.0115072 -0.0249735
ID85 ID85 0.01354 -0.0317511
ID850 ID850 0.0302041 -0.0364999
ID851 ID851 0.00726813 -0.0205517
ID852 ID852 -0.0242111 0.0244771
ID853 ID853 0.0150653 -0.0325599
ID854 ID854 -0.024273 0.022154
ID855 ID855 -0.0242566 0.0216606
ID856 ID856 0.0292419 -0.0415471
ID857 ID857 -0.023904 0.0217375
ID858 ID858 0.0146905 -0.0309608
ID859 ID859 0.01574 -0.0338178
ID86 ID86 0.16664 0.115566
ID860 ID860 -0.0246627 0.0210794
ID861 ID861 0.0162648 0.0419861
ID862 ID862 0.0153298 -0.0322333
ID863 ID863 -0.0243091 0.0208863
ID864 ID864 -0.0180996 0.0202114
ID865 ID865 -0.0257802 0.0238181
ID866 ID866 0.0143523 -0.0303125
ID867 ID867 0.014604 -0.0317839
ID868 ID868 0.0143653 -0.0289275
ID869 ID869 -0.0259013 0.0214675
ID87 ID87 -0.0251507 0.022887
ID870 ID870 -0.0239937 0.0235623
ID871 ID871 -0.0244951 0.0224698
ID872 ID872 -0.0241287 0.0220456
ID873 ID873 0.160625 0.11158
ID874 ID874 0.0190113 -0.0366792
ID875 ID875 0.0139563 -0.0327025
ID876 ID876 -0.0256843 0.0217207
ID877 ID877 0.0301626 -0.0417394
ID878 ID878 0.0298762 -0.0384397
ID879 ID879 -0.0244541 0.0223787
ID88 ID88 -0.0239807 0.0225966
ID880 ID880 0.0136491 -0.0324262
ID881 ID881 -0.0178449 0.0166608
ID882 ID882 -0.0207152 0.0211581
ID883 ID883 0.0154134 -0.031596
ID884 ID884 0.0184732 -0.0366519
ID885 ID885 -0.024245 0.0236843
ID886 ID886 0.0166611 -0.0299144
ID887 ID887 0.0454568 -0.0362844
ID888 ID888 -0.0232558 0.0219219
ID889 ID889 0.0281268 -0.042112
ID89 ID89 0.013456 -0.0316541
ID890 ID890 0.0270375 0.0478436
ID891 ID891 0.0130614 -0.0316208
ID892 ID892 -0.0242 0.0220106
ID893 ID893 -0.0248953 0.023476
ID894 ID894 -0.0248433 0.0199367
ID895 ID895 0.0135262 -0.0333683
ID896 ID896 0.0152467 -0.0314129
ID897 ID897 0.0221967 -0.0406883
ID898 ID898 -0.0249466 0.0202619
ID899 ID899 0.028682 -0.0429203
ID9 ID9 -0.0232929 0.0187594
ID90 ID90 0.0143879 -0.0325445
ID900 ID900 0.0138109 -0.0306068
ID901 ID901 0.0138187 -0.0301185
ID902 ID902 0.00795206 -0.0219215
ID903 ID903 -0.0217484 0.0192136
ID904 ID904 0.0133783 -0.0304135
ID905 ID905 -0.0230433 0.021563
ID906 ID906 0.0361362 -0.0491485
ID907 ID907 0.0125922 -0.0300467
ID908 ID908 0.0111226 -0.0279532
ID909 ID909 -0.0250497 0.0236194
ID91 ID91 -0.0234789 0.0213181
ID910 ID910 -0.0240043 0.0223085
ID911 ID911 0.0135738 -0.0331628
ID912 ID912 -0.0204402 0.0172105
ID913 ID913 -0.0121143 0.00863287
ID914 ID914 0.0150417 -0.0318039
ID915 ID915 0.0250927 0.0467713
ID916 ID916 -0.0228334 0.0213644
ID917 ID917 0.0138682 -0.0308746
ID918 ID918 -0.0229821 0.0199186
ID919 ID919 -0.0234143 0.0223302
ID92 ID92 0.00993094 -0.0286159
ID920 ID920 -0.0226623 0.0217798
ID921 ID921 0.0155914 -0.0316302
ID922 ID922 0.00628945 -0.0182474
ID923 ID923 0.0130681 -0.029367
ID924 ID924 -0.0243663 0.0206113
ID925 ID925 0.0135527 -0.0320487
ID926 ID926 0.0147596 -0.0323721
ID927 ID927 0.0137161 -0.0329976
ID928 ID928 0.0133845 -0.0316507
ID929 ID929 -0.023571 0.0237172
ID93 ID93 -0.0233098 0.0187698
ID930 ID930 -0.0234858 0.0238058
ID931 ID931 -0.0232654 0.0226919
ID932 ID932 0.0080733 -0.0243582
ID933 ID933 -0.0246616 0.02196
ID934 ID934 -0.0229 0.0199603
ID935 ID935 0.0180578 -0.0375693
ID936 ID936 0.0136459 -0.0324801
ID937 ID937 -0.0243871 0.0222084
ID938 ID938 -0.024461 0.0198635
ID939 ID939 0.00286473 0.0149661
ID94 ID94 -0.0246326 0.0212772
ID940 ID940 -0.0246744 0.0211711
ID941 ID941 0.00603321 -0.0193692
ID942 ID942 -0.0245611 0.0228533
ID943 ID943 0.0137372 -0.0330935
ID944 ID944 -0.0254172 0.021462
ID945 ID945 -0.0243047 0.0218047
ID946 ID946 -0.0233293 0.0197992
ID947 ID947 0.0142185 -0.0293846
ID948 ID948 0.00922652 -0.0245479
ID949 ID949 -0.0238302 0.0213745
ID95 ID95 -0.0219013 0.0207514
ID950 ID950 -0.0248095 0.0192655
ID951 ID951 0.0145266 -0.0316359
ID952 ID952 -0.0232436 0.018997
ID953 ID953 0.163185 0.113673
ID954 ID954 -0.0253776 0.0225894
ID955 ID955 -0.0247691 0.0204945
ID956 ID956 -0.0238388 0.0230129
ID957 ID957 0.0149186 -0.0293365
ID958 ID958 0.0247568 -0.0429807
ID959 ID959 -0.0247048 0.0224425
ID96 ID96 -0.0252765 0.0218291
ID960 ID960 0.0143997 -0.0324473
ID961 ID961 -0.0248558 0.0224613
ID962 ID962 0.0132996 -0.0300482
ID963 ID963 0.0132389 -0.0327066
ID964 ID964 -0.0249609 0.0203431
ID965 ID965 0.0157265 -0.0334639
ID966 ID966 0.0123322 -0.0301659
ID967 ID967 -0.0217591 0.0208364
ID968 ID968 -0.0233384 0.0207301
ID969 ID969 -0.0191192 0.0127513
ID97 ID97 0.0285951 -0.0426533
ID98 ID98 -0.02406 0.0209563
ID99 ID99 0.0270454 -0.0400956
